52.47908,-3.08378, Mainstone - St John the Baptist,blue
52.6698,-2.46136, Malinslee - St Leonard,blue
52.90304,-2.48282, Market Drayton - St Mary,blue
52.61646,-3.05187, Marton - St Mark,blue
52.74245,-2.99008, Melverley - St Peter,green
52.69028,-2.7621, Meole Brace - Holy Trinity,blue
52.3921,-2.67725, Middleton Chapel,blue
52.48489,-2.47076, Middleton Scriven - St John the Baptist,blue
52.5872,-3.03836, Middleton-in-Chirbury - Holy Trinity,blue
52.3522,-2.53037, Milson - St George,blue
52.50016,-2.89963, Mindtown - St John the Baptist,blue
52.63965,-2.92683, Minsterley - Holy Trinity,blue
52.5374,-2.55395, Monkhopton - St Peter,blue
52.72725,-2.86217, Montford - St Chad,blue
52.51747,-2.96971, More - St Peter,blue
52.80456,-2.65217, Moreton Corbet - St Bartholomew,green
52.9064,-2.55116, Moreton Say - St Margaret,blue
52.81438,-3.05352, Morton - St Philip and St James,blue
52.54188,-2.4883, Morville - St Gregory,green
52.59638,-2.55709, Much Wenlock - Holy Trinity,green
52.4853,-2.70662, Munslow - St Michael,green
52.80709,-2.79115, Myddle - St Peter,blue
52.34185,-2.58243, Nash - St John the Baptist,blue
52.39273,-2.48008, Neen Savage - St Mary,blue
52.34748,-2.50032, Neen Sollars - All Saints,blue
52.48623,-2.53557, Neenton - All Saints,blue
52.43636,-3.09987, Newcastle on Clun - St John the Evangelist,blue
52.76961,-2.37919, Newport - St Nicholas,green
52.87957,-2.77671, Newtown - King Charles the Martyr,blue
52.52966,-2.93889, Norbury - All Saints,yellow
52.94465,-2.4424, Norton-in-Hales - St Chad,blue
52.69244,-2.45619, Oakengates - Holy Trinity,blue
52.52542,-2.42818, Oldbury - St Nicholas,blue
52.40769,-2.80133, Onibury - St Michael,blue
52.85744,-3.05195, Oswestry - Holy Trinity,blue
52.85709,-3.05787, Oswestry - St Oswald,green
52.81911,-2.54031, Peplow - Chapel of the Epiphany,blue
52.83064,-2.8317, Petton Church,green
52.63427,-2.69916, Pitchford - St Michael and All Angels,green
52.64919,-2.8885, Pontesbury - St George,blue
52.81699,-2.94575, Pradoe Church,blue
52.89692,-2.66012, Prees - St Chad,green
52.77178,-2.75456, Preston Gubbals - St Martin,blue
52.7349,-2.47381, Preston-upon-the-Weald Moors - St Laurence,blue
52.68693,-2.44047, Prioslee - St Peter,blue
52.51362,-2.38615, Quatford - St Mary Magdalene,blue
52.49105,-2.36031, Quatt - St Andrew,blue
52.56637,-2.88259, Ratlinghope - St Margaret,green
52.7255,-2.60911, Rodington - St George,blue
52.77482,-2.57096, Rowton - All Hallows,blue
52.52224,-2.71825, Rushbury - St Peter,blue
52.79359,-2.89844, Ruyton XI Towns - St John the Baptist,blue
52.62208,-2.3556, Ryton - St Andrew,blue
52.62734,-2.75705, Ryton - St Thomas,blue
52.81692,-2.42498, Sambrook - St Luke,blue
52.89871,-3.09176, Selattyn - St Mary,blue
52.78588,-2.65485, Shawbury - St Mary,blue
52.6321,-2.57668, Sheinton - St Peter and St Paul,blue
52.71388,-2.80245, Shelton and Oxon - Christ Church,blue
52.58495,-2.98085, Shelve - All Saints,blue
52.70539,-2.35956, Sheriffhales - St Mary,blue
52.66444,-2.37588, Shifnal - St Andrew,blue
52.5228,-2.64733, Shipton - St James,green
52.73176,-2.89116, Shrawardine - St Mary the Virgin,blue
52.71405,-2.74334, Shrewsbury - All Saints,blue
52.70276,-2.74642, Shrewsbury - Holy Trinity,blue
52.70763,-2.75241, Shrewsbury - St Alkmund,green
52.70723,-2.75893, Shrewsbury - St Chad (new),green
52.70632,-2.75318, Shrewsbury - St Chad (old),green
52.71252,-2.75986, Shrewsbury - St George,blue
52.70206,-2.73055, Shrewsbury - St Giles,blue
52.6896,-2.73738, Shrewsbury - St John,blue
52.7072,-2.75209, Shrewsbury - St Julian,green
52.70868,-2.75144, Shrewsbury - St Mary the Virgin,green
52.71798,-2.74611, Shrewsbury - St Michael,blue
52.70763,-2.74375, Shrewsbury Abbey,blue
52.4429,-2.86527, Sibdon Carwood - St Michael,blue
52.46877,-2.46696, Sidbury - Holy Trinity,blue
52.41534,-2.55843, Silvington - St Michael,blue
52.58929,-2.81392, Smethcott - St Michael,green
52.6162,-2.9288, Snailbeach - St Luke,green
52.69523,-2.43162, St Georges - St George,blue
52.91959,-3.00906, St Martin's - St Martin,blue
52.40494,-2.74291, Stanton Lacy - St Peter,blue
52.51257,-2.63257, Stanton Long - St Michael,blue
52.8096,-2.64247, Stanton-upon-Hine Heath - St Andrew,blue
52.63523,-2.78353, Stapleton - St John the Baptist,blue
52.65737,-2.44519, Stirchley - St James,blue
52.59328,-2.40142, Stockton - St Chad,blue
52.84794,-2.53821, Stoke on Tern - St Peter,blue
52.43704,-2.63965, Stoke St Milborough - St Milburgh,blue
52.43069,-2.83121, Stokesay - st John the Baptist,green
52.44294,-2.48329, Stottesdon - St Mary,blue
52.35692,-3.01441, Stowe - St Michael,blue
52.60925,-2.41685, Sutton Maddock - St Mary,blue
52.54401,-2.44886, Tasley - St Peter and St Paul,blue
52.78007,-2.47395, Tibberton - All Saints,blue
52.93617,-2.68205, Tilstock - Christ Church,blue
52.66385,-2.30343, Tong - St Mary and St Bartholomew,green
52.83452,-3.0978, Trefonen - All Saints,blue
52.49002,-2.31412, Tuckhill - Holy Innocents,blue
52.47955,-2.6539, Tugford - St Catherine,blue
52.72039,-2.70038, Uffington - Holy Trinity,blue
52.68047,-2.59689, Uppington - Holy Trinity,yellow
52.52874,-2.50814, Upton Cressett - St Michael,green
52.70781,-2.66258, Upton Magna - St Lucy,blue
52.77123,-2.54394, Waters Upton - St Michael,blue
52.70204,-2.51782, Wellington - All Saints,blue
52.69732,-2.51076, Wellington - Christ Church,blue
52.89219,-2.94669, Welsh Frankton - St Andrew,blue
52.90863,-2.84327, Welshampton - St Michael and All Angels,green
52.85505,-2.72573, Wem - St Peter and St Paul,green
52.5976,-2.55514, Wenlock Priory,blue
52.52821,-2.90993, Wentnor - St Michael and All Angels,blue
52.82051,-2.97902, West Felton - St Michael,blue
52.67867,-2.95462, Westbury - St Mary,blue
52.91346,-3.06628, Westin Rhyn - St John the Divine,blue
52.82513,-2.85405, Weston Lullingfields - Holy Trinity,blue
52.85483,-2.64746, Weston-under-Redcastle - St Luke,blue
52.4364,-2.55761, Wheathill - Holy Trinity,blue
52.97069,-2.68479, Whitchurch - St Alkmund,green
52.87468,-3.00285, Whittington - St John the Baptist,blue
52.35185,-2.62401, Whitton - St Mary,blue
52.9087,-2.71854, Whixall - St Mary,blue
52.58955,-2.48551, Willey - St John the Baptist,blue
52.46568,-2.83682, Winstanstow - Holy Trinity,blue
52.71257,-2.62778, Withington - St John the Baptist,blue
52.70158,-2.45848, Wombridge - St Mary and St Leonard,blue
52.58134,-2.80945, Woolstaston - St Michael,blue
52.97802,-2.4025, Woore - St Leonard,blue
52.55926,-2.35847, Worfield - St Peter,blue
52.6358,-2.99364, Worthen - All Saints,blue
52.70495,-2.55673, Wrockwardine - St Peter,blue
52.71054,-2.44634, Wrockwardine Wood - Holy Trinity,blue
52.66977,-2.64732, Wroxeter - St Andrew,green
52.68499,-2.89609, Yockleton - Holy Trinity,blue
